"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"Age",1.00857714855432,0.00144579372037014,5.90718695521099,3.47998753615174e-09,1.00572318538903,1.01143921047469
"SexMale",1.52994585829701,0.0409182558389447,10.3922403173284,2.68960121245526e-25,1.41203798503167,1.65769926456169
"LVEF",0.953071041121146,0.00225230097099482,-21.3407683973477,4.75074801393118e-101,0.948873049567227,0.957287605373587
"GroupNonICD_preserved",0.18626288585385,0.0733830622775977,-22.9016912917283,4.46933237620712e-116,0.161310468127118,0.215075085017199
"GroupNonICD_reduced",0.220741523787386,0.0431259501706483,-35.0314098958133,7.48350094996049e-269,0.202850069500832,0.240211011235454
