"term","estimate_standard","conf.low_standard","conf.high_standard","estimate_tvc","conf.low_tvc","conf.high_tvc","diff"
"ns(BMI, knots = K4, Boundary.knots = BND)1",0.0354365949655387,-0.483166300807953,0.554039490739031,0.0314295430390017,-0.487047617565106,0.54990670364311,0.00400705192653703
"ns(BMI, knots = K4, Boundary.knots = BND)2",-0.150083875152045,-0.573287848880536,0.273120098576446,-0.149091761452393,-0.572189356611205,0.274005833706418,0.000992113699651909
"ns(BMI, knots = K4, Boundary.knots = BND)3",0.51297734987671,0.0997000398651052,0.926254659888314,0.515329809530325,0.102003311665702,0.928656307394948,0.00235245965361552
"ns(BMI, knots = K4, Boundary.knots = BND)4",0.128932137925638,-0.255950769078495,0.513815044929771,0.130221778892341,-0.254636347782324,0.515079905567006,0.0012896409667027
"ns(BMI, knots = K4, Boundary.knots = BND)5",0.591450055148452,0.208855053072989,0.974045057223915,0.595474758028635,0.212955008684978,0.977994507372292,0.00402470288018297
