"","1 vs 2"
"Age",0.546833406335475
"Sex",0.0807213740850056
"LVEF",0.0416614205438166
"Diabetes",0.382714745638166
"eGFR",0.56906376227151
"BMI",0.835692781236951
"MI_history",1.27575826786142
"HF",0.65669716530767
