month_start,fu_band,sin_time,cos_time,lin_pred,rel_hazard
1,0–24 months,0.49999999999999994,0.8660254037844387,-0.40317106293664934,0.6698505630049187
2,0–24 months,0.8660254037844386,0.5000000000000001,-0.5214738166558031,0.5951133511270362
3,0–24 months,1,6.123031769111886e-17,-0.5007100323653314,0.6075993359338838
4,0–24 months,0.8660254037844387,-0.4999999999999998,-0.34644334929768045,0.7089481274330319
5,0–24 months,0.49999999999999994,-0.8660254037844387,-0.10000940059985501,0.9070669929845565
6,0–24 months,1.2246063538223773e-16,-1,0.17256003618694954,1.1912825112903505
7,0–24 months,-0.4999999999999997,-0.8660254037844388,0.3982302005943031,1.4928702836555754
8,0–24 months,-0.8660254037844384,-0.5000000000000004,0.5165329543134567,1.6803521515794966
9,0–24 months,-1,-1.836909530733566e-16,0.49576917002298515,1.6458214169424559
10,0–24 months,-0.8660254037844386,0.5000000000000001,0.34150248695533414,1.4105404349127941
11,0–24 months,-0.5000000000000004,0.8660254037844384,0.09506853825750917,1.1024544027444576
12,0–24 months,-2.4492127076447545e-16,1,-0.17750089852929557,0.8394314451211403
1,24–60 months,0.49999999999999994,0.8660254037844387,-26.194402764423657,0.8388973476914402
2,24–60 months,0.8660254037844386,0.5000000000000001,-26.216681084376205,0.8204147690114993
3,24–60 months,1,6.123031769111886e-17,-26.185920134247965,0.8460436706033685
4,24–60 months,0.8660254037844387,-0.4999999999999998,-26.11036228578421,0.9124459281110187
5,24–60 months,0.49999999999999994,-0.8660254037844387,-26.01025320346264,1.0085187096270933
6,24–60 months,1.2246063538223773e-16,-1,-25.91241703504633,1.1121763802599538
7,24–60 months,-0.4999999999999997,-0.8660254037844388,-25.843068902852995,1.1920409603772073
8,24–60 months,-0.8660254037844384,-0.5000000000000004,-25.82079058290044,1.21889565835691
9,24–60 months,-1,-1.836909530733566e-16,-25.851551533028683,1.1819720834112917
10,24–60 months,-0.8660254037844386,0.5000000000000001,-25.927109381492436,1.0959553538369586
11,24–60 months,-0.5000000000000004,0.8660254037844384,-26.027218463814012,0.9915532458190619
12,24–60 months,-2.4492127076447545e-16,1,-26.12505463223032,0.8991379584650612
1,>60 months,0.49999999999999994,0.8660254037844387,-46.57523099657393,1.1489914130772931
2,>60 months,0.8660254037844386,0.5000000000000001,-46.57079053722307,1.1541048072490132
3,>60 months,1,6.123031769111886e-17,-46.604753891805004,1.1155656996744714
4,>60 months,0.8660254037844387,-0.4999999999999998,-46.66802060688727,1.0471737988852032
5,>60 months,0.49999999999999994,-0.8660254037844387,-46.74363841725579,0.9709086482088677
6,>60 months,1.2246063538223773e-16,-1,-46.81134559168892,0.9073472290452511
7,>60 months,-0.4999999999999997,-0.8660254037844388,-46.8530000474755,0.870328523449748
8,>60 months,-0.8660254037844384,-0.5000000000000004,-46.85744050682636,0.8664724327625446
9,>60 months,-1,-1.836909530733566e-16,-46.82347715224442,0.8964061913088632
10,>60 months,-0.8660254037844386,0.5000000000000001,-46.760210437162165,0.9549513185533954
11,>60 months,-0.5000000000000004,0.8660254037844384,-46.68459262679364,1.029963016443205
12,>60 months,-2.4492127076447545e-16,1,-46.616885452360506,1.1021139074312731
