LVEF_cat,term,estimate,std.error,statistic,p.value
≤35%,sin_time,-0.17463068782396698,0.02927974884880883,-5.964213993969125,2.4581441559835996e-9
≤35%,cos_time,-0.08158994273110023,0.02822170002852514,-2.8910357153762187,0.0038397448063793456
36–50%,sin_time,-0.046230707325831684,0.0551694924569148,-0.8379759404518003,0.40204421618077
36–50%,cos_time,-0.10634882307179214,0.05030327852974096,-2.1141529176655,0.03450220869668677
>50%,sin_time,0.02916669091952746,0.05054766364684793,0.5770136306061744,0.5639302476577905
>50%,cos_time,0.026350258470892438,0.04874006912867175,0.5406282539593625,0.5887638393966375
