Age_cat,term,estimate,std.error,statistic,p.value
<55,sin_time,-0.2813430504794493,0.06259135402025084,-4.494918745301842,6.959651783058743e-6
<55,cos_time,-0.14479466314576242,0.057917338676789755,-2.5000227298736113,0.012418533842082129
55-69,sin_time,-0.2261024902144377,0.03686278677916119,-6.13362444811837,8.589916394693741e-10
55-69,cos_time,-0.07129811852864856,0.034584523229742696,-2.061561411589221,0.03924951106517242
>=70,sin_time,-0.07653949006695686,0.03319921559983551,-2.305460797312816,0.021140779893106542
>=70,cos_time,-0.06853051455744161,0.032324442012479915,-2.1200834505042083,0.03399900835198997
