month_start,LVEF_cat,sin_time,cos_time,lin_pred,rel_hazard
1,≤35%,0.49999999999999994,0.8660254037844387,-0.17173853061642153,0.8538717202038492
2,≤35%,0.8660254037844386,0.5000000000000001,-0.20579380690744314,0.8252824535509377
3,≤35%,1,6.123031769111886e-17,-0.18839491142995474,0.839767099722676
4,≤35%,0.8660254037844387,-0.4999999999999998,-0.12420386417634291,0.8954403768287837
5,≤35%,0.49999999999999994,-0.8660254037844387,-0.030420604419520922,0.9834815697165777
6,≤35%,1.2246063538223773e-16,-1,0.06782571912511247,1.0850108020302358
7,≤35%,-0.4999999999999997,-0.8660254037844388,0.14421008340444602,1.171136104333406
8,≤35%,-0.8660254037844384,-0.5000000000000004,0.1782653596954676,1.2117063627092837
9,≤35%,-1,-1.836909530733566e-16,0.16086646421797926,1.1908063561078295
10,≤35%,-0.8660254037844386,0.5000000000000001,0.09667541696436738,1.1167689394815048
11,≤35%,-0.5000000000000004,0.8660254037844384,0.0028921572075455426,1.0167958717194698
12,≤35%,-2.4492127076447545e-16,1,-0.09535416633708793,0.921649810424775
1,36–50%,0.49999999999999994,0.8660254037844387,-0.12316754478371751,0.891173508318269
2,36–50%,0.8660254037844386,0.5000000000000001,-0.10116278719304272,0.9110009139222076
3,36–50%,1,6.123031769111886e-17,-0.05418211600388474,0.9548216524280758
4,36–50%,0.8660254037844387,-0.4999999999999998,0.005186035878749405,1.0132241199299414
5,36–50%,0.49999999999999994,-0.8660254037844387,0.06103402010177973,1.071420597129191
6,36–50%,1.2246063538223773e-16,-1,0.09839741439373909,1.112209773278518
7,36–50%,-0.4999999999999997,-0.8660254037844388,0.10726472742761142,1.1221159411337271
8,36–50%,-0.8660254037844384,-0.5000000000000004,0.08525996983693665,1.0976937396194448
9,36–50%,-1,-1.836909530733566e-16,0.03827929864777865,1.0473160065621023
10,36–50%,-0.8660254037844386,0.5000000000000001,-0.021088853234855542,0.9869484750019021
11,36–50%,-0.5000000000000004,0.8660254037844384,-0.076936837457885765,0.933340279885828
12,36–50%,-2.4492127076447545e-16,1,-0.11430023174984519,0.8991109627208619
1,>50%,0.49999999999999994,0.8660254037844387,0.03799576940558692,1.0381116470021057
2,>50%,0.8660254037844386,0.5000000000000001,0.03902665522983015,1.0391823733864836
3,>50%,1,6.123031769111886e-17,0.0297591216332717,1.0295962045098879
4,>50%,0.8660254037844387,-0.4999999999999998,0.012676396758937716,1.0121572721414287
5,>50%,0.49999999999999994,-0.8660254037844387,-0.007644217058570981,0.9917971804701268
6,>50%,1.2246063538223773e-16,-1,-0.025757827757148195,0.9739938802493487
7,>50%,-0.4999999999999997,-0.8660254037844388,-0.03681090797809844,0.9632875258531529
8,>50%,-0.8660254037844384,-0.5000000000000004,-0.03784179380234167,0.9622949980773864
9,>50%,-1,-1.836909530733566e-16,-0.028574260205783228,0.9712545516579711
10,>50%,-0.8660254037844386,0.5000000000000001,-0.011491535331449228,0.9879887518708359
11,>50%,-0.5000000000000004,0.8660254037844384,0.008829078486059436,1.0082706622799482
12,>50%,-2.4492127076447545e-16,1,0.02694268918463667,1.0267004960482848
