term,estimate,std.error,statistic,p.value,conf.low,conf.high
sin_time,0.6075993359338838,0.031508215360352226,-15.81300608415635,2.530964384910113e-56,0.5712121663692288,0.6463044290073163
cos_time,0.8394314451211402,0.030554463871740024,-5.728474506797325,1.0133777802397027e-8,0.7906371685655331,0.8912370668540868
fu_band24–60 months,5.026659828141124e-12,3443.110326247799,-0.007556035949280462,0.993971212942858,0,Inf
fu_band>60 months,5.168806764721066e-21,3453.256218879856,-0.013526840214018508,0.9892074721656517,0,Inf
sin_time:fu_band24–60 months,1.3924367927476307,0.05307713766187152,6.2372485625262515,4.4533408473072934e-10,1.2548625220056977,1.5450937356056482
sin_time:fu_band>60 months,1.8360219205306407,0.0657558278325305,9.240264345258185,2.458890025342622e-20,1.6140106641217749,2.088571387787737
cos_time:fu_band24–60 months,1.0711273251567393,0.051882995531611326,1.3243581651769498,0.18538412152640787,0.9675606836890942,1.18577962709582
cos_time:fu_band>60 months,1.3129290233727406,0.06261404525456082,4.3482342646196,1.37237970425445e-5,1.1612990664631808,1.4843571911793585
