month_start,Age_cat,sin_time,cos_time,lin_pred,rel_hazard
1,<55,0.49999999999999994,0.8660254037844387,-0.2852017989136403,0.7663874851497153
2,<55,0.8660254037844386,0.5000000000000001,-0.33518197752356693,0.7290247765847716
3,<55,1,6.123031769111886e-17,-0.3004774675367243,0.7547693670698821
4,<55,0.8660254037844387,-0.4999999999999998,-0.19038731437780454,0.8426084531039253
5,<55,0.49999999999999994,-0.8660254037844387,-0.03441008568035889,0.9848404125785487
6,<55,1.2246063538223773e-16,-1,0.12566024608848744,1.155802217108798
7,<55,-0.4999999999999997,-0.8660254037844388,0.24693296479909035,1.3048229771192674
8,<55,-0.8660254037844384,-0.5000000000000004,0.2969131434090171,1.3716954925519176
9,<55,-1,-1.836909530733566e-16,0.2622086334221744,1.324908036321263
10,<55,-0.8660254037844386,0.5000000000000001,0.1521184802632546,1.186790847298398
11,<55,-0.5000000000000004,0.8660254037844384,-0.0038587484341907896,1.0153929380109006
12,<55,-2.4492127076447545e-16,1,-0.16392908020303731,0.8651999323045665
1,55-69,0.49999999999999994,0.8660254037844387,-0.1812239541879191,0.8396272572509228
2,55-69,0.8660254037844386,0.5000000000000001,-0.23788628684180635,0.7933747792089673
3,55-69,1,6.123031769111886e-17,-0.2325292174072943,0.7976363475559434
4,55-69,0.8660254037844387,-0.4999999999999998,-0.16658816831315781,0.8520062290224774
5,55-69,0.49999999999999994,-0.8660254037844387,-0.05773199041223179,0.9499886296778114
6,55-69,1.2246063538223773e-16,-1,0.06487139133579195,1.0739013280356207
7,55-69,-0.4999999999999997,-0.8660254037844388,0.16837049980220586,1.1910046885259107
8,55-69,-0.8660254037844384,-0.5000000000000004,0.22503283245609318,1.2604383529774514
9,55-69,-1,-1.836909530733566e-16,0.21967576302158112,1.2537041511010925
10,55-69,-0.8660254037844386,0.5000000000000001,0.15373471392744462,1.1737003391950769
11,55-69,-0.5000000000000004,0.8660254037844384,0.04487853602651874,1.0526441777931068
12,55-69,-2.4492127076447545e-16,1,-0.07772484572150509,0.9311842474663841
1,>=70,0.49999999999999994,0.8660254037844387,-0.09934297993314647,0.9069944830009481
2,>=70,0.8660254037844386,0.5000000000000001,-0.10227446842791649,0.9043395324889548
3,>=70,1,6.123031769111886e-17,-0.07826355842546119,0.9263163332725093
4,>=70,0.8660254037844387,-0.4999999999999998,-0.03374395387047488,0.9684873230214548
5,>=70,0.49999999999999994,-0.8660254037844387,0.019355353149180972,1.0213031618534563
6,>=70,1.2246063538223773e-16,-1,0.06680644619893727,1.070933303508197
7,>=70,-0.4999999999999997,-0.8660254037844388,0.09589484321613781,1.1025425388380832
8,>=70,-0.8660254037844384,-0.5000000000000004,0.09882633171090782,1.105779371656755
9,>=70,-1,-1.836909530733566e-16,0.07481542170845254,1.0795448207926763
10,>=70,-0.8660254037844386,0.5000000000000001,0.030295817153466208,1.0325380376484774
11,>=70,-0.5000000000000004,0.8660254037844384,-0.02280348986618956,0.9791411966112046
12,>=70,-2.4492127076447545e-16,1,-0.07025458291594591,0.9337649662440869
