"","chisq","df","p"
"Age",17.481161366302,1,2.90168749979536e-05
"Sex",0.0364180150492445,1,0.84865482994605
"LVEF",29.8138600997681,1,4.75579849296127e-08
"Group",37.4358411160866,2,7.42865841302413e-09
"GLOBAL",61.0418862307283,5,7.40197586412577e-12
