"Variable","Estimate","sHR","SE","Z","P_value"
"Age",-0.00946202902679161,0.990582595113981,0.0041080999186465,-2.30326165725518,0.0212641255784034
"SexMale",0.39638069510561,1.48643508841442,0.131839038426929,3.00655025882414,0.00264230370288665
"LVEF",-0.0426411956453819,0.958255154513527,0.00737232665697706,-5.7839536457635,7.29650562192319e-09
"GroupNonICD_preserved",-1.83387711213741,0.159792830496143,0.251347961598372,-7.29616862804623,2.96096480667529e-13
"GroupNonICD_reduced",-1.56753543522123,0.208558555546736,0.14284667936457,-10.9735517982928,0
