"Variable","Estimate","sHR","SE","Z","P_value"
"Age",0.0900971592556083,1.09428059802875,0.00219044186527697,41.1319563800502,0
"SexMale",-0.0283598053018826,0.972038559246463,0.0387191065846882,-0.73244988852862,0.463894018212091
"LVEF",-0.0248712850100105,0.97543545711349,0.00272182498669323,-9.13772381824846,0
"GroupNonICD_preserved",0.245991072193401,1.27888815582465,0.135918240966279,1.80984590769116,0.0703196864862712
"GroupNonICD_reduced",0.295588302833236,1.34391675620224,0.118115021103634,2.5025462474742,0.0123303514703653
