"Variable","Estimate","sHR","SE","Z","P_value"
"Age",0.00394173962543559,1.00394951849848,0.00426827139839119,0.923497888845898,0.355747800062655
"SexMale",0.299604914246192,1.34932560292919,0.125256437303605,2.39193226867846,0.0167599349592549
"LVEF",-0.0462758391957976,0.954778560513834,0.00730383471737276,-6.33582782010753,2.36070274439726e-10
"GroupNonICD_preserved",-1.59901889936381,0.202094695997289,0.239884112323157,-6.6657974297594,2.63231658692575e-11
"GroupNonICD_reduced",-1.47821622733528,0.228044104639154,0.13760970269014,-10.7420930242384,0
