"Horizon","Model","C_index_mean","C_index_sd","AIC_mean","AIC_sd","Slope_mean","Slope_sd","Intercept_mean","Intercept_sd"
60,"Baseline",0.801680192370012,0.000524139057847581,50934.1505855041,16.107031080106,0.999999999792198,5.49332763826992e-11,-4.54276320108348,0.0177072299958907
60,"Extended",0.819785255194722,0.000580857009004144,50295.7726006787,14.1050720215321,0.999999999494433,6.38235303957464e-11,-4.56707900803208,0.0186841618730878
90,"Baseline",0.798340398324969,0.000510385863295211,58043.2049362742,15.5223657337309,0.999999999913167,2.32146038262948e-11,-4.39664610770398,0.0146327882464733
90,"Extended",0.815762412308769,0.00052983943243822,57368.3201496656,15.3596165230409,0.999999999576757,5.59808987221156e-11,-4.48251677828752,0.0161078603882984
120,"Baseline",0.797320176864679,0.000514191840409685,60543.3841097023,15.6355485126177,0.999999999940246,1.62874974696403e-11,-4.32790911716103,0.0141680475471111
120,"Extended",0.814521664132635,0.000508892452989427,59855.3612068187,15.9485442597814,0.999999999607479,5.33915024199942e-11,-4.44385887119423,0.014929869262379
