"cal_slope","cal_intercept"
0.999999999944959,-4.29907195353008
0.999999999953871,-4.29433144537165
0.999999999973318,-4.29109282029241
0.999999999960356,-4.27068224494987
0.999999999964342,-4.30574701602052
0.999999999940989,-4.29694513102488
0.99999999995354,-4.27603035514697
0.999999999965735,-4.27736862028517
0.99999999996784,-4.28032330743244
0.999999999963325,-4.28910441700616
0.999999999939276,-4.31442853280977
0.999999999958432,-4.29020349649895
0.999999999969756,-4.26561542277825
0.999999999976852,-4.28707815472878
0.999999999947302,-4.30479986016843
0.999999999960799,-4.26748737263094
0.999999999975577,-4.28774447615376
0.999999999947032,-4.28530777579631
0.999999999950995,-4.2975688084418
0.999999999938375,-4.2993856840654
