"model","mean_C","sd_C","mean_AIC","sd_AIC","mean_slope","sd_slope","mean_intercept","sd_intercept","n_imps"
"Full base",0.797304012724834,0.000512273658266552,60724.8388142451,15.7279277094158,0.999999999943473,1.55956550261734e-11,-4.32844733754249,0.0139722741195545,20
"Simplified base",0.797574382886671,0.000529354769371598,60727.1138894663,15.8259746694463,0.999999999957634,1.21161323591762e-11,-4.28901584475663,0.0131782974086742,20
