"Imputation","C_index"
1,0.796494282223239
2,0.796661203364036
3,0.797314552559379
4,0.797350460282704
5,0.797985105876226
6,0.797477126467325
7,0.796370316783278
8,0.797518124863322
9,0.79765168361713
10,0.797450488640523
11,0.797044112673807
12,0.797301615866451
13,0.796595961269474
14,0.797478235326719
15,0.798184851775216
16,0.796657666774605
17,0.797806230895145
18,0.797358146694411
19,0.797603360028773
20,0.797776728514909
