"model","mean_slope","sd_slope","mean_intercept","sd_intercept","n_imps"
"Full base",0.999999999943473,1.55956550261734e-11,-4.32844733754249,0.0139722741195545,20
"Simplified base",0.999999999957634,1.21161323591762e-11,-4.28901584475663,0.0131782974086742,20
"Extended",0.999999999618795,5.22685298645142e-11,-4.44847338137206,0.0152972260182055,20
