"cal_slope","cal_intercept"
0.999999999539127,-4.42951375949777
0.999999999609036,-4.44348027590049
0.999999999606547,-4.43995362608633
0.999999999707161,-4.46321578566308
0.999999999638949,-4.44998212606902
0.999999999674386,-4.44952878342477
0.999999999606564,-4.46549918498772
0.999999999701061,-4.42650782836167
0.999999999606519,-4.45162951577521
0.9999999996219,-4.42331301766224
0.99999999969095,-4.43276506501928
0.999999999595958,-4.46344010448398
0.999999999654538,-4.46230936305572
0.999999999569488,-4.45116073300158
0.999999999523363,-4.43852074313275
0.999999999634435,-4.48255092261289
0.999999999561496,-4.44500761036648
0.999999999601882,-4.43499238774671
0.99999999966403,-4.46285260392944
0.999999999568504,-4.45324419066415
