"cal_slope","cal_intercept"
0.999999999928407,-4.33376889546923
0.999999999943195,-4.31525329976657
0.999999999963184,-4.3376048753376
0.999999999943105,-4.32310100231019
0.999999999952452,-4.34780315737224
0.999999999925896,-4.31814313047616
0.999999999933209,-4.32684102974021
0.999999999952962,-4.32363185127157
0.999999999955643,-4.32226619171228
0.999999999949761,-4.3326010048246
0.999999999917639,-4.36031315932146
0.999999999944279,-4.32810565621386
0.999999999960717,-4.3027104735785
0.999999999968854,-4.33354267251122
0.999999999928709,-4.34542857622794
0.999999999948071,-4.30574732670898
0.999999999967507,-4.32434351523629
0.999999999931357,-4.31615790321789
0.999999999935436,-4.33083815259505
0.999999999919079,-4.34074487695802
