"BMI","HR","LCL","UCL"
29.2709684981168,0.950751348683146,0.910019506202179,0.993306320207598
29.3081500759791,0.950716302087797,0.909984788675578,0.99327098464031
29.3453316538413,0.950686911204544,0.909961879395331,0.99323457784431
29.3825132317035,0.950663132875301,0.909950440518001,0.993197378632846
29.4196948095657,0.950644924046159,0.90995013370742,0.993159666818958
29.4568763874279,0.950632241764863,0.909960620218374,0.993121723076344
29.4940579652901,0.950625043178318,0.909981560990028,0.993083828791648
29.5312395431524,0.950623285530108,0.910012616749741,0.993046265907516
29.5684211210146,0.950626926158051,0.910053448127919,0.993009316755733
29.6056026988768,0.95063592249176,0.910103715784539,0.992973263879858
29.642784276739,0.95065023205024,0.91016308054792,0.992938389846712
29.6799658546012,0.950669812439493,0.910231203566324,0.992904977046183
29.7171474324634,0.950694621350157,0.910307746472896,0.992873307478801
29.7543290103257,0.950724616555158,0.910392371564443,0.99284366253059
29.7915105881879,0.950759755907387,0.91048474199447,0.992816322734779
29.8286921660501,0.950799997337395,0.910584521980849,0.992791567519971
29.8658737439123,0.950845298851113,0.910691377028442,0.992769674944475
29.9030553217745,0.95089561852759,0.910804974166901,0.992750921416549
29.9402368996368,0.95095091451675,0.910924982203804,0.992735581400401
29.977418477499,0.951011145037175,0.911051071993183,0.992723927107883
30.0146000553612,0.951076268373904,0.911182916719416,0.992716228175918
30.0517816332234,0.951146242876251,0.911320192196326,0.992712751329792
30.0889632110856,0.951221026955651,0.911462577181225,0.992713760032584
30.1261447889478,0.951300579083514,0.911609753703519,0.992719514121117
30.1633263668101,0.951384857789112,0.911761407407334,0.992730269428959
30.2005079446723,0.951473821657476,0.911917227907511,0.992746277397121
30.2376895225345,0.951567429327319,0.912076909158157,0.992767784673287
30.2748711003967,0.951665639488972,0.912240149832773,0.992795032700518
30.3120526782589,0.951768410882348,0.912406653714859,0.992828257296561
30.3492342561212,0.95187570229492,0.912576130097704,0.992867688225026
