term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.0013128228823742051,0.04286973148822638,-154.78463143527853,0,0.001206250957239494,0.0014269979052252636
interval12–24,0.5486171127700581,0.04492716804843754,-13.362838868205323,9.9688442072049e-41,0.5021362653475919,0.5988533408302525
interval24–60,0.3839151073531801,0.03942954494507704,-24.279606238661984,3.219754825316704e-130,0.35531464519606665,0.41471193696258174
interval>60,0.2758577594920533,0.0486902941245646,-26.450238870506794,3.6257288872000945e-154,0.25061760198927274,0.30333120431944643
seasonSpring,0.8244846154551065,0.04759441418157346,-4.055030400460839,5.012778296225336e-5,0.7509971754639138,0.9050634913698051
seasonSummer,1.303494754050596,0.04183307816953552,6.335869638822444,2.360062738315991e-10,1.201201422133036,1.415283941088507
seasonAutumn,0.8452696648346673,0.048778593728965945,-3.446175047363618,5.685819255457685e-4,0.7680884998165298,0.9299708883219645
cal_periodMiddle,0.7188528728331811,0.03673405987331117,-8.986171711776436,2.5599189763233304e-19,0.6687534850995744,0.7723410920616061
cal_periodLate,0.5637457106975068,0.043902878873128215,-13.054998018907593,5.9511581750451e-39,0.5170137251596969,0.6141242442720419
