"time","n_risk","n_event","n_censor","surv","std_err","lower_ci","upper_ci"
77.9237844940867,9880,2,57,0.970831418599448,0.00114906731446393,0.96858189826989,0.973086163414125
78.7450722733246,9672,1,214,0.970731043142604,0.00115332426989332,0.968473198973918,0.972994151122715
79.3692509855453,9536,1,125,0.970629246682542,0.00115768706605279,0.968362871794547,0.972900925837443
80.5847568988173,9245,1,288,0.970524257039851,0.00116231280348926,0.968248837373416,0.972805024024515
80.880420499343,9175,1,69,0.970418477829274,0.00116698954642063,0.96813391374215,0.9727084329403
80.9132720105125,9169,1,7,0.97031264093563,0.00117165173390616,0.96801896097983,0.972611755669003
82.0630749014455,8898,1,272,0.970203592538132,0.00117658381043998,0.967900269096186,0.972512397225458
82.1287779237845,8883,1,15,0.970094372275547,0.00118150984687486,0.967781417259403,0.972412855152437
83.5742444152431,8529,1,351,0.96998063158235,0.00118683344251593,0.967657267770443,0.972309573835698
84.592641261498,8288,1,237,0.969863597239737,0.00119244669429485,0.967529258410167,0.97220356808273
84.6254927726675,8277,1,10,0.969746421500068,0.00119804592941907,0.967401135189912,0.97209739352598
84.7897503285151,8237,1,42,0.969628690964497,0.00120367120193588,0.967272406397434,0.971990715462652
85.8409986859396,8003,1,233,0.969507532812433,0.0012096031490797,0.967139650526954,0.971881212468038
86.1695137976347,7958,1,45,0.969385704773628,0.00121557076795434,0.967006155174326,0.971771109823037
86.4323258869908,7901,1,56,0.969263013252963,0.00122159305330141,0.966871689610565,0.971660251256929
87.0893561103811,7769,1,133,0.969138252921742,0.00122779012220543,0.966734813673483,0.971547667459335
87.6806833114323,7626,1,138,0.969011169489678,0.00123418853555031,0.96659522115843,0.971433156342751
88.2720105124836,7526,1,102,0.968882414351558,0.00124072247579037,0.96645369215075,0.971317239991751
88.9947437582129,7411,1,105,0.968751678632444,0.00124742389647966,0.966309855317538,0.97119967232952
89.19185282523,7365,1,51,0.96862014412075,0.00125417017496551,0.966165132184147,0.971081394207962
89.5203679369251,7291,1,73,0.968487292640278,0.00126101486006455,0.966018899893647,0.970961992678363
90.0459921156373,7193,1,98,0.968352649613357,0.00126800733115291,0.965870587344605,0.970841090203581
90.8015768725361,7031,1,158,0.968214923450704,0.00127528469930015,0.965718634924952,0.970717664638938
91.1957950065703,6951,1,80,0.968075631992864,0.00128268564719645,0.965564875851841,0.970592916847344
91.7871222076216,6799,1,161,0.967933246990364,0.00129037554007991,0.965407458628206,0.970465643553851
93.8567674113009,6330,1,464,0.967780334945026,0.0012992002877097,0.965237296211569,0.970330073633018
94.053876478318,6301,1,23,0.967626743398455,0.00130804139321032,0.96506642264289,0.970193856683754
94.2838370565046,6240,1,60,0.96747167501009,0.00131699137933827,0.964893859728339,0.970056377196094
95.4336399474376,5998,1,243,0.967310375964573,0.00132661261778172,0.964713754411816,0.969913986578549
96.353482260184,5825,1,171,0.967144314097455,0.0013367380600546,0.964527901126386,0.96976782444417
96.5177398160315,5790,1,34,0.96697727708293,0.00134690311977127,0.964340995684847,0.969620765454107
97.2733245729303,5609,1,179,0.96680487963649,0.00135765120044744,0.96414759069995,0.969469492331924
