"time","n_risk","n_event","n_censor","survival","lower_CI","upper_CI","strata"
0.0328515111695138,39692,5,39,0.999874030031241,0.999763627564495,0.999984444689573,"Normal"
0.0657030223390276,39645,7,33,0.999697485240971,0.999526365056602,0.999868634721334,"Normal"
0.0985545335085414,39607,1,20,0.999672244816672,0.999494123373152,0.999850398003498,"Normal"
0.131406044678055,39587,2,25,0.999621739739509,0.999430371607551,0.999813144514102,"Normal"
0.164257555847569,39559,1,22,0.999596470603794,0.99939880417728,0.99979417612583,"Normal"
0.197109067017083,39536,2,28,0.999545904210097,0.999336195979647,0.999755656447302,"Normal"
0.295663600525624,39469,4,59,0.999444604870949,0.999212615221284,0.999676648382222,"Normal"
0.328515111695138,39443,4,15,0.999343249030382,0.99909092081716,0.999595640971065,"Normal"
0.394218134034166,39405,1,49,0.999317888206907,0.999060718992931,0.999575123619067,"Normal"
0.427069645203679,39375,1,29,0.999292508704985,0.99903058128055,0.999554504801967,"Normal"
0.492772667542707,39314,1,60,0.999267090469529,0.999000475853701,0.999533776239831,"Normal"
0.558475689881735,39266,3,43,0.999190744489001,0.998910508089435,0.99947105950666,"Normal"
0.559912155959174,39238,1,0,0.99916527961453,0.998880642391116,0.999449997947083,"Normal"
0.591327201051248,39237,1,25,0.999139814740059,0.998850843954174,0.999428869126129,"Normal"
0.68988173455979,39148,2,87,0.999088770507161,0.998791285026318,0.999386344592714,"Normal"
0.722733245729304,39122,1,37,0.999063232733773,0.998761575294187,0.999364981283402,"Normal"
0.755584756898817,39084,1,20,0.999037670784312,0.998731890788521,0.999343544400229,"Normal"
0.854139290407359,39016,2,68,0.998986459093171,0.998672569629746,0.999300447214151,"Normal"
0.886990801576872,38993,3,22,0.998909600185744,0.9985839140991,0.999235392494235,"Normal"
0.919842312746386,38968,1,11,0.998883966085965,0.998554437746711,0.999213603171345,"Normal"
0.9526938239159,38955,1,18,0.998858324089659,0.99852499567096,0.99919176378032,"Normal"
0.985545335085414,38937,2,25,0.998807017706318,0.9984662103934,0.999147941347283,"Normal"
1,38910,1,0,0.998781348032257,0.998436857759899,0.999125957163956,"Normal"
1.05124835742444,38884,2,43,0.998729975676119,0.998378226528479,0.999081848752206,"Normal"
1.11695137976347,38842,2,47,0.998678550416056,0.998319675467422,0.999037554372695,"Normal"
1.14980289093298,38815,2,23,0.998627092033966,0.998261221905106,0.998993096256937,"Normal"
1.1826544021025,38790,1,20,0.998601347587149,0.998232025766826,0.998970806047655,"Normal"
1.21550591327201,38769,3,24,0.998524074403864,0.998144576609457,0.99890371648456,"Normal"
1.24835742444152,38742,1,10,0.998498300719635,0.998115467297027,0.998881280980394,"Normal"
1.28120893561104,38730,1,26,0.998472519715227,0.998086377791293,0.998858811030626,"Normal"
1.31406044678055,38703,1,32,0.998446721391591,0.998057294862653,0.99883629986874,"Normal"
1.34691195795007,38671,1,18,0.998420902387133,0.998028213700162,0.998813745583167,"Normal"
1.37976346911958,38652,2,15,0.998369240330712,0.99797010188555,0.998768538411416,"Normal"
1.41261498028909,38634,2,21,0.998317556878813,0.997912066742837,0.99872321178106,"Normal"
1.44546649145861,38612,1,18,0.998291701767529,0.997883069828808,0.998700501040547,"Normal"
1.51116951379763,38578,1,38,0.99826582453953,0.997854069621646,0.998677749364134,"Normal"
1.54402102496715,38553,2,32,0.998214037865365,0.997796099866172,0.998632150922539,"Normal"
1.60972404730618,38501,1,41,0.998188110901445,0.997767107741875,0.998609291701328,"Normal"
1.70827858081472,38435,1,66,0.998162140090703,0.997738083816349,0.998586376596448,"Normal"
1.74113009198423,38411,2,36,0.998110167367259,0.997680063189612,0.998540456964672,"Normal"
1.80683311432326,38343,1,49,0.998084136275082,0.997651029776415,0.998517430796648,"Normal"
1.87253613666229,38295,1,53,0.998058073234573,0.997621977941622,0.998494359159957,"Normal"
1.9053876478318,38269,1,9,0.998031993167855,0.997592925719967,0.998471253861123,"Normal"
1.93823915900131,38259,1,10,0.998005906966094,0.997563886127927,0.998448123663819,"Normal"
1.97109067017083,38248,3,7,0.997927627899976,0.997476859426169,0.998378600079979,"Normal"
1.97361078609616,38238,1,0,0.997901530101244,0.997447882505059,0.998355384020131,"Normal"
2,38237,2,0,0.997849334503781,0.997389983279482,0.998308897283791,"Normal"
2.10249671484888,38163,2,101,0.9977970404318,0.997332034981499,0.998262262690608,"Normal"
2.20105124835742,38084,2,72,0.997744640629236,0.997274026992073,0.998215476348985,"Normal"
2.20374777239753,38058,1,0,0.997718424205865,0.997245028122238,0.99819204501245,"Normal"
2.23390275952694,38057,1,17,0.997692207782495,0.997216045668187,0.998168597260131,"Normal"
2.26675427069645,38039,2,19,0.997639751503004,0.997158100559086,0.998121635095718,"Normal"
2.29960578186597,38018,2,22,0.997587269007791,0.99710018628964,0.998074589665497,"Normal"
2.33245729303548,37994,2,29,0.997534756123177,0.997042295944223,0.99802745953858,"Normal"
2.36530880420499,37963,1,19,0.997508479623529,0.997013348767296,0.998003856368712,"Normal"
2.39816031537451,37942,1,17,0.997482189273004,0.996984399418034,0.997980227672224,"Normal"
2.40100804637013,37924,1,2,0.997455887137437,0.996955450190668,0.997956575286139,"Normal"
2.43101182654402,37922,1,22,0.997429584308284,0.996926514208726,0.997932908267601,"Normal"
2.46386333771353,37899,2,29,0.997376948112906,0.996868647019846,0.997885508387556,"Normal"
2.49671484888305,37868,1,29,0.997350609860342,0.996839709599273,0.997861771967998,"Normal"
2.49963818335643,37838,2,0,0.997297892982607,0.996781826203629,0.997814226946352,"Normal"
